"","harvestable_mass.length.1.37.","cum.biomass","inv.mass"
"1",4,0,9995
"2",5,0,9995
"3",6,0,9995
"4",7,0.28424703523559,9994.71575296476
"5",8,4.26698521397284,9990.73301478603
"6",9,14.5985700620426,9980.40142993796
"7",10,58.9210281032004,9936.0789718968
"8",11,198.053984759338,9796.94601524066
"9",12,580.557722465169,9414.44227753483
"10",13,1240.37820486676,8754.62179513324
"11",14,2026.79933719568,7968.20066280432
"12",15,2873.08195690694,7121.91804309306
"13",16,3634.98513753339,6360.01486246661
"14",17,4102.34761357543,5892.65238642457
"15",18,4757.0173664731,5237.9826335269
"16",19,5429.64990212359,4565.35009787641
"17",20,6121.75434947965,3873.24565052035
"18",21,6620.76605672415,3374.23394327585
"19",22,7078.94560360967,2916.05439639033
"20",23,7639.20233117829,2355.79766882171
"21",24,8240.44003176574,1754.55996823426
"22",25,8669.69965904318,1325.30034095682
"23",26,9061.66944500236,933.330554997641
"24",27,9391.08245721784,603.917542782156
"25",28,9689.50434964904,305.495650350963
"26",29,9885.58601801894,109.413981981058
"27",30,9963.43905902702,31.5609409729746
"28",31,9995,0
"29",32,9995,0
"30",33,9995,0
"31",34,9995,0
"32",35,9995,0
"33",36,9995,0
"34",37,9995,0
"35",38,9995,0
"36",39,9995,0
"37",40,9995,0
